Timestamp,Transaction_Type,MIN,P50%,P95%,P99%,MAX
22:50:01,NEWORD,1691,2396.5,3344,173229,181889
22:50:01,PAYMENT,1299,1717.5,2279,80609,151972
22:50:01,SLEV,1822,1960,2430,2430,2430
22:50:01,DELIVERY,2768,3442,3821,3937,3937
22:50:01,OSTAT,680,845.5,982,1044,1044
22:50:03,NEWORD,1845,2368.5,3567,81273,205565
22:50:03,PAYMENT,1410,1836,67307,163685,223151
22:50:03,SLEV,1787,1953,2260,2479,2479
22:50:03,DELIVERY,3124,3359,3836,3836,3836
22:50:03,OSTAT,734,929.5,1212,1212,1212
22:50:05,NEWORD,1758,2302,3159,161470,213057
22:50:05,PAYMENT,1318,1692,2411,70120,80693
22:50:05,SLEV,1612,1846.5,2252,2331,2331
22:50:05,DELIVERY,2941,3334,3919,3962,3962
22:50:05,OSTAT,667,930,1024,1174,1174
22:50:07,NEWORD,1962,2452,84465,226183,226183
22:50:07,PAYMENT,1393,1875,176347,419259,419259
22:50:07,SLEV,1763,1828,1972,1972,1972
22:50:07,DELIVERY,2917,3640.5,77521,323920,323920
22:50:07,OSTAT,782,938,1235,1235,1235
22:50:09,NEWORD,1594,2158,61527,198924,340999
22:50:09,PAYMENT,1247,1568,2150,104464,195476
22:50:09,SLEV,1623,1748.5,2040,2541,2541
22:50:09,DELIVERY,2652,3213,3530,4225,4225
22:50:09,OSTAT,645,816,956,1296,1296
22:50:11,NEWORD,1563,2172,2992,75327,176140
22:50:11,PAYMENT,1263,1589,2041,94273,177599
22:50:11,SLEV,1569,1703.5,1956,2301,2301
22:50:11,DELIVERY,2863,3330,5068,207272,207272
22:50:11,OSTAT,571,779,1248,1358,1358
22:50:13,NEWORD,1628,2217,3109,142994,159164
22:50:13,PAYMENT,1324,1618.5,2117,128241,307154
22:50:13,SLEV,1564,1763,1892,1944,1944
22:50:13,DELIVERY,2608,3222,3762,3819,3819
22:50:13,OSTAT,654,849,1181,1182,1182
22:50:15,NEWORD,1700,2177,3250,198118,213245
22:50:15,PAYMENT,1234,1636,2589,87766,95609
22:50:15,SLEV,1518,1736.5,2051,2131,2131
22:50:15,DELIVERY,2837,3116.5,3956,191281,191281
22:50:15,OSTAT,737,828,1088,1127,1127
22:50:17,NEWORD,1633,2154,2677,149081,177916
22:50:17,PAYMENT,1261,1590,4044,70936,170617
22:50:17,SLEV,1560,1712.5,1855,1945,1945
22:50:17,DELIVERY,2791,3145,3727,3992,3992
22:50:17,OSTAT,608,767,887,887,887
22:50:19,NEWORD,1540,2179,3080,97890,156815
22:50:19,PAYMENT,1252,1674,2536,169419,243335
22:50:19,SLEV,1720,1818,1874,1874,1874
22:50:19,DELIVERY,2650,3169.5,4119,152064,152064
22:50:19,OSTAT,659,832,1099,1310,1310
22:50:21,NEWORD,1647,2141,2856,152673,194116
22:50:21,PAYMENT,1248,1635.5,2119,63365,87491
22:50:21,SLEV,1623,1829,2106,2196,2196
22:50:21,DELIVERY,2718,3103,3541,3554,3554
22:50:21,OSTAT,696,893,1177,1202,1202
22:50:23,NEWORD,1521,2167,2746,80599,172208
22:50:23,PAYMENT,1246,1577,2788.5,140020,185959
