Time,Container ID,CPU Usage (%),Memory Usage
2024-03-12 10:31:39,590e7c9e393e,93.94%,1.007GiB / 31.34GiB
2024-03-12 10:31:41,590e7c9e393e,40.59%,1.028GiB / 31.34GiB
2024-03-12 10:31:43,590e7c9e393e,26.10%,1.028GiB / 31.34GiB
2024-03-12 10:31:45,590e7c9e393e,13.50%,1.028GiB / 31.34GiB
2024-03-12 10:31:47,590e7c9e393e,13.07%,1.029GiB / 31.34GiB
2024-03-12 10:31:49,590e7c9e393e,13.11%,1.029GiB / 31.34GiB
2024-03-12 10:31:51,590e7c9e393e,19.08%,1.029GiB / 31.34GiB
2024-03-12 10:31:53,590e7c9e393e,17.59%,1.029GiB / 31.34GiB
2024-03-12 10:31:55,590e7c9e393e,25.05%,1.03GiB / 31.34GiB
2024-03-12 10:31:57,590e7c9e393e,15.87%,1.03GiB / 31.34GiB
2024-03-12 10:31:59,590e7c9e393e,16.10%,1.03GiB / 31.34GiB
2024-03-12 10:32:01,590e7c9e393e,17.91%,1.03GiB / 31.34GiB
2024-03-12 10:32:03,590e7c9e393e,12.93%,1.03GiB / 31.34GiB
2024-03-12 10:32:05,590e7c9e393e,1.18%,1.03GiB / 31.34GiB
2024-03-12 10:32:07,590e7c9e393e,1.64%,1.03GiB / 31.34GiB
2024-03-12 10:32:09,590e7c9e393e,14.24%,1.031GiB / 31.34GiB
2024-03-12 10:32:11,590e7c9e393e,14.25%,1.031GiB / 31.34GiB
2024-03-12 10:32:13,590e7c9e393e,6.89%,1.031GiB / 31.34GiB
2024-03-12 10:32:15,590e7c9e393e,2.97%,1.031GiB / 31.34GiB
2024-03-12 10:32:17,590e7c9e393e,5.74%,1.031GiB / 31.34GiB
2024-03-12 10:32:19,590e7c9e393e,14.08%,1.031GiB / 31.34GiB
2024-03-12 10:32:21,590e7c9e393e,17.55%,1.032GiB / 31.34GiB
2024-03-12 10:32:23,590e7c9e393e,15.68%,1.032GiB / 31.34GiB
2024-03-12 10:32:25,590e7c9e393e,20.08%,1.032GiB / 31.34GiB
2024-03-12 10:32:27,590e7c9e393e,18.93%,1.032GiB / 31.34GiB
2024-03-12 10:32:29,590e7c9e393e,13.85%,1.032GiB / 31.34GiB
2024-03-12 10:32:31,590e7c9e393e,17.08%,1.033GiB / 31.34GiB
2024-03-12 10:32:33,590e7c9e393e,33.74%,1.063GiB / 31.34GiB
2024-03-12 10:32:35,590e7c9e393e,23.55%,1.034GiB / 31.34GiB
2024-03-12 10:32:37,590e7c9e393e,24.36%,1.035GiB / 31.34GiB
2024-03-12 10:32:39,590e7c9e393e,1.49%,1.035GiB / 31.34GiB
2024-03-12 10:32:41,590e7c9e393e,6.94%,1.035GiB / 31.34GiB
2024-03-12 10:32:43,590e7c9e393e,19.13%,1.035GiB / 31.34GiB
2024-03-12 10:32:45,590e7c9e393e,4.75%,1.035GiB / 31.34GiB
2024-03-12 10:32:47,590e7c9e393e,1.69%,1.035GiB / 31.34GiB
2024-03-12 10:32:49,590e7c9e393e,20.04%,1.035GiB / 31.34GiB
2024-03-12 10:32:51,590e7c9e393e,15.33%,1.035GiB / 31.34GiB
2024-03-12 10:32:53,590e7c9e393e,18.83%,1.036GiB / 31.34GiB
2024-03-12 10:32:55,590e7c9e393e,18.60%,1.036GiB / 31.34GiB
2024-03-12 10:32:57,590e7c9e393e,17.23%,1.036GiB / 31.34GiB
2024-03-12 10:32:59,590e7c9e393e,19.08%,1.036GiB / 31.34GiB
2024-03-12 10:33:01,590e7c9e393e,20.68%,1.037GiB / 31.34GiB
2024-03-12 10:33:03,590e7c9e393e,21.56%,1.037GiB / 31.34GiB
2024-03-12 10:33:05,590e7c9e393e,12.67%,1.037GiB / 31.34GiB
2024-03-12 10:33:07,590e7c9e393e,16.47%,1.037GiB / 31.34GiB
2024-03-12 10:33:09,590e7c9e393e,14.13%,1.037GiB / 31.34GiB
2024-03-12 10:33:11,590e7c9e393e,15.43%,1.037GiB / 31.34GiB
2024-03-12 10:33:13,590e7c9e393e,12.91%,1.038GiB / 31.34GiB
2024-03-12 10:33:15,590e7c9e393e,1.07%,1.037GiB / 31.34GiB
2024-03-12 10:33:17,590e7c9e393e,15.65%,1.038GiB / 31.34GiB
2024-03-12 10:33:19,590e7c9e393e,12.84%,1.038GiB / 31.34GiB
2024-03-12 10:33:21,590e7c9e393e,13.89%,1.038GiB / 31.34GiB
2024-03-12 10:33:23,590e7c9e393e,2.53%,1.038GiB / 31.34GiB
2024-03-12 10:33:25,590e7c9e393e,2.07%,1.038GiB / 31.34GiB
2024-03-12 10:33:27,590e7c9e393e,11.06%,1.038GiB / 31.34GiB
2024-03-12 10:33:29,590e7c9e393e,9.07%,1.038GiB / 31.34GiB
2024-03-12 10:33:31,590e7c9e393e,10.28%,1.038GiB / 31.34GiB
